time,consumption
2018-01-01 00:00:00,0.05
2018-01-01 01:00:00,1.52
2018-01-01 02:00:00,1.09
2018-01-01 03:00:00,0.95
2018-01-01 04:00:00,0.75
2018-01-01 05:00:00,0.74
2018-01-01 06:00:00,0.77
2018-01-01 07:00:00,0.79
2018-01-01 08:00:00,0.94
2018-01-01 09:00:00,0.88
2018-01-01 10:00:00,1.44
2018-01-01 11:00:00,1.3
2018-01-01 12:00:00,1.43
2018-01-01 13:00:00,1.73
2018-01-01 14:00:00,1.81
2018-01-01 15:00:00,4.46
2018-01-01 16:00:00,3.35
2018-01-01 17:00:00,2.17
2018-01-01 18:00:00,2.0
2018-01-01 19:00:00,3.49
2018-01-01 20:00:00,1.77
2018-01-01 21:00:00,1.62
2018-01-01 22:00:00,1.44
2018-01-01 23:00:00,0.93
2018-01-02 00:00:00,0.97
2018-01-02 01:00:00,0.76
2018-01-02 02:00:00,0.64
2018-01-02 03:00:00,0.68
2018-01-02 04:00:00,0.66
2018-01-02 05:00:00,0.74
2018-01-02 06:00:00,0.6
2018-01-02 07:00:00,0.74
2018-01-02 08:00:00,0.74
2018-01-02 09:00:00,0.87
2018-01-02 10:00:00,0.83
2018-01-02 11:00:00,0.53
2018-01-02 12:00:00,0.57
2018-01-02 13:00:00,0.62
2018-01-02 14:00:00,0.86
2018-01-02 15:00:00,0.66
2018-01-02 16:00:00,0.96
2018-01-02 17:00:00,0.94
2018-01-02 18:00:00,1.54
2018-01-02 19:00:00,1.39
2018-01-02 20:00:00,1.48
2018-01-02 21:00:00,1.38
2018-01-02 22:00:00,0.96
2018-01-02 23:00:00,0.87
2018-01-03 00:00:00,0.86
2018-01-03 01:00:00,0.63
2018-01-03 02:00:00,0.74
2018-01-03 03:00:00,1.12
2018-01-03 04:00:00,4.01
2018-01-03 05:00:00,1.55
2018-01-03 06:00:00,0.75
2018-01-03 07:00:00,0.74
2018-01-03 08:00:00,0.87
2018-01-03 09:00:00,0.69
2018-01-03 10:00:00,0.68
2018-01-03 11:00:00,0.5
2018-01-03 12:00:00,0.5
2018-01-03 13:00:00,0.53
2018-01-03 14:00:00,0.46
2018-01-03 15:00:00,0.54
2018-01-03 16:00:00,0.6
2018-01-03 17:00:00,0.86
2018-01-03 18:00:00,1.16
2018-01-03 19:00:00,1.24
2018-01-03 20:00:00,1.03
2018-01-03 21:00:00,1.48
2018-01-03 22:00:00,1.4
2018-01-03 23:00:00,0.77
2018-01-04 00:00:00,0.81
2018-01-04 01:00:00,0.61
2018-01-04 02:00:00,0.63
2018-01-04 03:00:00,0.58
2018-01-04 04:00:00,3.33
2018-01-04 05:00:00,0.82
2018-01-04 06:00:00,0.69
2018-01-04 07:00:00,0.67
2018-01-04 08:00:00,0.85
2018-01-04 09:00:00,0.7
2018-01-04 10:00:00,0.61
2018-01-04 11:00:00,0.55
2018-01-04 12:00:00,0.46
2018-01-04 13:00:00,0.56
2018-01-04 14:00:00,0.45
2018-01-04 15:00:00,0.53
2018-01-04 16:00:00,0.43
2018-01-04 17:00:00,0.83
2018-01-04 18:00:00,0.74
2018-01-04 19:00:00,1.02
2018-01-04 20:00:00,1.19
2018-01-04 21:00:00,1.17
2018-01-04 22:00:00,1.16
2018-01-04 23:00:00,0.82
2018-01-05 00:00:00,0.79
2018-01-05 01:00:00,0.61
2018-01-05 02:00:00,0.63
2018-01-05 03:00:00,0.91
2018-01-05 04:00:00,3.89
2018-01-05 05:00:00,1.38
2018-01-05 06:00:00,0.63
2018-01-05 07:00:00,0.58
2018-01-05 08:00:00,0.72
2018-01-05 09:00:00,0.46
2018-01-05 10:00:00,0.44
2018-01-05 11:00:00,0.52
2018-01-05 12:00:00,0.45
2018-01-05 13:00:00,0.54
2018-01-05 14:00:00,0.43
2018-01-05 15:00:00,0.52
2018-01-05 16:00:00,0.42
2018-01-05 17:00:00,0.69
2018-01-05 18:00:00,0.79
2018-01-05 19:00:00,1.4
2018-01-05 20:00:00,1.15
2018-01-05 21:00:00,1.1
2018-01-05 22:00:00,0.83
2018-01-05 23:00:00,0.67
2018-01-06 00:00:00,0.77
2018-01-06 01:00:00,0.72
2018-01-06 02:00:00,0.56
2018-01-06 03:00:00,0.64
2018-01-06 04:00:00,3.88
2018-01-06 05:00:00,1.07
2018-01-06 06:00:00,0.58
2018-01-06 07:00:00,0.53
2018-01-06 08:00:00,0.87
2018-01-06 09:00:00,0.95
2018-01-06 10:00:00,0.94
2018-01-06 11:00:00,1.1
2018-01-06 12:00:00,1.04
2018-01-06 13:00:00,1.03
2018-01-06 14:00:00,0.92
2018-01-06 15:00:00,1.09
2018-01-06 16:00:00,0.95
2018-01-06 17:00:00,0.99
2018-01-06 18:00:00,1.21
2018-01-06 19:00:00,1.23
2018-01-06 20:00:00,1.53
2018-01-06 21:00:00,1.31
2018-01-06 22:00:00,0.96
2018-01-06 23:00:00,0.8
2018-01-07 00:00:00,0.6
2018-01-07 01:00:00,0.68
2018-01-07 02:00:00,0.5
2018-01-07 03:00:00,0.48
2018-01-07 04:00:00,0.47
2018-01-07 05:00:00,0.52
2018-01-07 06:00:00,0.54
2018-01-07 07:00:00,0.53
2018-01-07 08:00:00,0.52
2018-01-07 09:00:00,1.02
2018-01-07 10:00:00,1.32
2018-01-07 11:00:00,1.63
2018-01-07 12:00:00,2.91
2018-01-07 13:00:00,2.87
2018-01-07 14:00:00,2.12
2018-01-07 15:00:00,1.25
2018-01-07 16:00:00,2.19
2018-01-07 17:00:00,3.26
2018-01-07 18:00:00,4.9
2018-01-07 19:00:00,2.1
2018-01-07 20:00:00,1.66
2018-01-07 21:00:00,2.34
2018-01-07 22:00:00,1.16
2018-01-07 23:00:00,0.71