time,generation
2018-01-01 00:00:00,0.0
2018-01-01 01:00:00,0.0
2018-01-01 02:00:00,0.01
2018-01-01 03:00:00,0.0
2018-01-01 04:00:00,0.0
2018-01-01 05:00:00,0.0
2018-01-01 06:00:00,0.0
2018-01-01 07:00:00,0.0
2018-01-01 08:00:00,0.37
2018-01-01 09:00:00,1.56
2018-01-01 10:00:00,1.63
2018-01-01 11:00:00,2.11
2018-01-01 12:00:00,1.77
2018-01-01 13:00:00,1.19
2018-01-01 14:00:00,1.05
2018-01-01 15:00:00,0.58
2018-01-01 16:00:00,0.42
2018-01-01 17:00:00,0.01
2018-01-01 18:00:00,0.0
2018-01-01 19:00:00,0.01
2018-01-01 20:00:00,0.0
2018-01-01 21:00:00,0.0
2018-01-01 22:00:00,0.0
2018-01-01 23:00:00,0.0
2018-01-02 00:00:00,0.0
2018-01-02 01:00:00,0.0
2018-01-02 02:00:00,0.0
2018-01-02 03:00:00,0.0
2018-01-02 04:00:00,0.0
2018-01-02 05:00:00,0.0
2018-01-02 06:00:00,0.0
2018-01-02 07:00:00,0.0
2018-01-02 08:00:00,0.09
2018-01-02 09:00:00,0.43
2018-01-02 10:00:00,0.71
2018-01-02 11:00:00,0.89
2018-01-02 12:00:00,0.93
2018-01-02 13:00:00,0.74
2018-01-02 14:00:00,0.49
2018-01-02 15:00:00,0.22
2018-01-02 16:00:00,0.04
2018-01-02 17:00:00,0.0
2018-01-02 18:00:00,0.0
2018-01-02 19:00:00,0.0
2018-01-02 20:00:00,0.0
2018-01-02 21:00:00,0.0
2018-01-02 22:00:00,0.0
2018-01-02 23:00:00,0.0
2018-01-03 00:00:00,0.0
2018-01-03 01:00:00,0.0
2018-01-03 02:00:00,0.0
2018-01-03 03:00:00,0.0
2018-01-03 04:00:00,0.01
2018-01-03 05:00:00,0.0
2018-01-03 06:00:00,0.0
2018-01-03 07:00:00,0.07
2018-01-03 08:00:00,1.83
2018-01-03 09:00:00,2.59
2018-01-03 10:00:00,3.71
2018-01-03 11:00:00,4.28
2018-01-03 12:00:00,4.67
2018-01-03 13:00:00,4.68
2018-01-03 14:00:00,4.13
2018-01-03 15:00:00,2.98
2018-01-03 16:00:00,1.45
2018-01-03 17:00:00,0.22
2018-01-03 18:00:00,0.0
2018-01-03 19:00:00,0.0
2018-01-03 20:00:00,0.0
2018-01-03 21:00:00,0.0
2018-01-03 22:00:00,0.0
2018-01-03 23:00:00,0.0
2018-01-04 00:00:00,0.0
2018-01-04 01:00:00,0.0
2018-01-04 02:00:00,0.0
2018-01-04 03:00:00,0.0
2018-01-04 04:00:00,0.0
2018-01-04 05:00:00,0.0
2018-01-04 06:00:00,0.0
2018-01-04 07:00:00,0.06
2018-01-04 08:00:00,1.64
2018-01-04 09:00:00,3.13
2018-01-04 10:00:00,3.93
2018-01-04 11:00:00,4.62
2018-01-04 12:00:00,3.51
2018-01-04 13:00:00,3.82
2018-01-04 14:00:00,2.47
2018-01-04 15:00:00,0.97
2018-01-04 16:00:00,0.32
2018-01-04 17:00:00,0.01
2018-01-04 18:00:00,0.0
2018-01-04 19:00:00,0.0
2018-01-04 20:00:00,0.0
2018-01-04 21:00:00,0.0
2018-01-04 22:00:00,0.0
2018-01-04 23:00:00,0.0
2018-01-05 00:00:00,0.0
2018-01-05 01:00:00,0.0
2018-01-05 02:00:00,0.0
2018-01-05 03:00:00,0.0
2018-01-05 04:00:00,0.01
2018-01-05 05:00:00,0.0
2018-01-05 06:00:00,0.0
2018-01-05 07:00:00,0.04
2018-01-05 08:00:00,0.26
2018-01-05 09:00:00,0.87
2018-01-05 10:00:00,1.88
2018-01-05 11:00:00,4.76
2018-01-05 12:00:00,4.81
2018-01-05 13:00:00,4.65
2018-01-05 14:00:00,4.11
2018-01-05 15:00:00,3.0
2018-01-05 16:00:00,1.41
2018-01-05 17:00:00,0.19
2018-01-05 18:00:00,0.0
2018-01-05 19:00:00,0.0
2018-01-05 20:00:00,0.0
2018-01-05 21:00:00,0.0
2018-01-05 22:00:00,0.0
2018-01-05 23:00:00,0.0
2018-01-06 00:00:00,0.0
2018-01-06 01:00:00,0.0
2018-01-06 02:00:00,0.01
2018-01-06 03:00:00,0.0
2018-01-06 04:00:00,0.01
2018-01-06 05:00:00,0.0
2018-01-06 06:00:00,0.0
2018-01-06 07:00:00,0.0
2018-01-06 08:00:00,0.19
2018-01-06 09:00:00,0.56
2018-01-06 10:00:00,1.8
2018-01-06 11:00:00,4.23
2018-01-06 12:00:00,4.6
2018-01-06 13:00:00,1.92
2018-01-06 14:00:00,0.88
2018-01-06 15:00:00,0.73
2018-01-06 16:00:00,0.38
2018-01-06 17:00:00,0.04
2018-01-06 18:00:00,0.0
2018-01-06 19:00:00,0.0
2018-01-06 20:00:00,0.0
2018-01-06 21:00:00,0.0
2018-01-06 22:00:00,0.0
2018-01-06 23:00:00,0.0
2018-01-07 00:00:00,0.0
2018-01-07 01:00:00,0.0
2018-01-07 02:00:00,0.01
2018-01-07 03:00:00,0.01
2018-01-07 04:00:00,0.01
2018-01-07 05:00:00,0.01
2018-01-07 06:00:00,0.0
2018-01-07 07:00:00,0.0
2018-01-07 08:00:00,0.09
2018-01-07 09:00:00,0.73
2018-01-07 10:00:00,0.84
2018-01-07 11:00:00,0.77
2018-01-07 12:00:00,0.61
2018-01-07 13:00:00,0.32
2018-01-07 14:00:00,0.23
2018-01-07 15:00:00,0.22
2018-01-07 16:00:00,0.11
2018-01-07 17:00:00,0.01
2018-01-07 18:00:00,0.01
2018-01-07 19:00:00,0.0
2018-01-07 20:00:00,0.0
2018-01-07 21:00:00,0.0
2018-01-07 22:00:00,0.0
2018-01-07 23:00:00,0.0